Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,200,151,233,318,325,261,294,277,317,390,469,546,577
Expenses+,237,160,199,255,264,221,219,211,237,302,353,416,437
Operating Profit,-37,-9,34,63,61,40,75,66,80,89,116,130,140
OPM %,-19%,-6%,15%,20%,19%,15%,26%,24%,25%,23%,25%,24%,24%
Other Income+,3,9,10,7,7,-5,4,4,6,8,7,28,12
Interest,7,2,2,1,0,0,2,3,2,4,5,5,6
Depreciation,12,11,8,6,4,5,20,23,23,28,34,43,51
Profit before tax,-54,-12,35,63,64,29,57,44,61,65,85,110,95
Tax %,-31%,14%,10%,2%,6%,46%,21%,20%,42%,24%,25%,24%,
Net Profit+,-37,-14,31,62,60,16,45,35,36,49,64,83,72
EPS in Rs,-16.40,-9.23,20.30,40.50,39.07,10.28,29.48,23.05,23.39,32.06,42.00,54.66,47.06
Dividend Payout %,0%,0%,0%,0%,13%,97%,0%,65%,257%,62%,107%,82%,
