Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,361,630,577,828,728,934,"1,090","1,181"
Expenses+,304,545,495,682,662,795,920,"1,004"
Operating Profit,58,85,82,146,67,139,170,177
OPM %,16%,13%,14%,18%,9%,15%,16%,15%
Other Income+,11,3,17,11,29,12,27,34
Interest,10,6,2,1,3,9,13,8
Depreciation,26,38,35,34,28,54,81,85
Profit before tax,33,44,61,122,66,88,103,118
Tax %,25%,19%,31%,30%,21%,25%,28%,
Net Profit+,25,35,42,85,52,66,74,87
EPS in Rs,0.98,3.13,3.69,7.33,4.53,5.75,6.21,7.26
Dividend Payout %,0%,0%,27%,0%,0%,0%,0%,
