Metric,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,189,270,264,288,317,313,94,227,384,408,450,465
Expenses+,105,207,206,217,248,238,96,175,265,278,311,317
Operating Profit,84,63,58,72,69,74,-2,52,119,130,139,148
OPM %,45%,23%,22%,25%,22%,24%,-2%,23%,31%,32%,31%,32%
Other Income+,1,2,8,3,7,1,3,1,29,2,12,11
Interest,4,31,29,25,22,23,20,19,15,13,9,6
Depreciation,11,18,18,17,17,17,17,16,15,14,13,13
Profit before tax,70,15,19,32,38,36,-36,19,118,105,129,141
Tax %,34%,46%,44%,34%,36%,34%,-27%,47%,32%,29%,26%,
Net Profit+,46,4,4,20,27,28,-40,2,93,93,117,130
EPS in Rs,7.38,0.57,0.67,3.25,4.34,4.48,-6.37,0.33,14.88,14.79,18.69,20.65
Dividend Payout %,27%,70%,59%,18%,14%,0%,0%,0%,7%,10%,11%,
