Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,19,22,22,19,15,28,76,29,28,38,36,34
Expenses+,2,4,4,4,5,16,6,3,6,7,4,4
Operating Profit,17,18,18,14,10,12,70,26,22,31,33,30
OPM %,89%,82%,82%,77%,68%,43%,92%,90%,79%,82%,89%,89%
Other Income+,0,0,0,0,0,0,0,0,12,-0,-1,4
Interest,7,12,15,13,9,8,31,14,9,12,19,20
Depreciation,0,0,0,0,0,0,0,0,1,1,1,1
Profit before tax,10,6,3,2,2,4,40,12,24,19,12,14
Tax %,24%,11%,14%,26%,20%,1%,5%,15%,10%,14%,10%,
Net Profit+,8,6,2,1,1,4,38,10,22,16,10,12
EPS in Rs,7.58,5.77,2.36,1.12,1.49,3.65,37.96,10.28,22.02,16.23,10.51,12.31
Dividend Payout %,7%,9%,0%,0%,0%,7%,1%,2%,1%,2%,2%,
