Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,652,636,701,716,752,766,856,837,876,848,988,963,"1,016"
Expenses+,537,519,566,570,594,604,679,672,699,677,778,768,809
Operating Profit,115,117,135,146,158,161,177,165,178,171,210,195,207
OPM %,18%,18%,19%,20%,21%,21%,21%,20%,20%,20%,21%,20%,20%
Other Income+,12,12,16,19,23,19,24,26,30,27,27,28,26
Interest,5,5,6,6,7,8,9,9,9,8,8,9,8
Depreciation,24,23,24,23,22,29,34,30,31,31,28,32,33
Profit before tax,98,100,121,136,151,143,158,154,168,159,201,183,192
Tax %,25%,25%,25%,26%,25%,25%,26%,24%,25%,24%,25%,26%,26%
Net Profit+,73,75,91,101,113,108,116,117,126,121,152,135,142
EPS in Rs,16.59,17.01,20.67,23.17,25.80,24.37,27.15,26.22,28.33,27.22,33.26,30.35,31.76
Raw PDF,,,,,,,,,,,,,
