Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,76.96,60.31,62.02,53.36,47.23,39.90,31.06,28.48
Expenses+,69.78,57.93,59.05,51.27,46.66,40.83,31.09,29.11
Operating Profit,7.18,2.38,2.97,2.09,0.57,-0.93,-0.03,-0.63
OPM %,9.33%,3.95%,4.79%,3.92%,1.21%,-2.33%,-0.10%,-2.21%
Other Income+,4.89,6.72,3.40,4.15,4.12,3.68,2.91,3.16
Interest,1.30,1.25,0.88,0.84,0.98,1.77,1.46,1.57
Depreciation,4.76,4.89,4.62,4.86,4.72,2.79,2.56,2.51
Profit before tax,6.01,2.96,0.87,0.54,-1.01,-1.81,-1.14,-1.55
Tax %,23.29%,32.09%,28.74%,14.81%,-28.71%,5.52%,29.82%,
Net Profit+,4.61,2.00,-0.43,-5.11,-3.84,-2.31,-1.48,-0.82
EPS in Rs,5.15,2.24,-0.48,-5.71,-4.29,-1.62,-0.76,-0.92
Dividend Payout %,4.85%,0.00%,-104.07%,-4.38%,0.00%,0.00%,0.00%,
