Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,8.03,32.96,45.27,27.12,23.82,20.33,17.89,12.44,21.93,21.10,25.32,16.71,16.05
Expenses+,6.95,31.55,44.00,25.71,22.38,18.90,16.23,11.31,22.45,19.75,23.66,15.55,15.15
Operating Profit,1.08,1.41,1.27,1.41,1.44,1.43,1.66,1.13,-0.52,1.35,1.66,1.16,0.90
OPM %,13.45%,4.28%,2.81%,5.20%,6.05%,7.03%,9.28%,9.08%,-2.37%,6.40%,6.56%,6.94%,5.61%
Other Income+,0.06,-0.10,0.31,0.00,0.00,0.07,0.12,0.16,3.90,0.15,0.83,0.10,0.08
Interest,0.12,0.26,0.13,0.14,0.27,0.43,0.58,0.32,0.23,0.26,0.38,0.26,0.05
Depreciation,0.21,0.29,0.27,0.28,0.29,0.32,0.36,0.34,0.17,0.15,0.16,0.16,0.16
Profit before tax,0.81,0.76,1.18,0.99,0.88,0.75,0.84,0.63,2.98,1.09,1.95,0.84,0.77
Tax %,32.10%,-119.74%,35.59%,34.34%,23.86%,30.67%,27.38%,25.40%,15.10%,25.69%,17.44%,28.57%,
Net Profit+,0.55,1.67,0.76,0.64,0.66,0.52,0.62,0.47,2.53,0.81,1.61,0.60,0.54
EPS in Rs,0.07,0.22,0.10,0.08,0.09,0.07,0.08,0.06,0.33,0.10,0.21,0.08,0.07
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
