Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,943,953,"1,002",845,850,865,889,960,251,341,303,358,373
Expenses+,890,927,929,785,780,796,835,799,248,345,302,354,379
Operating Profit,53,26,73,60,71,70,54,161,3,-3,1,3,-6
OPM %,6%,3%,7%,7%,8%,8%,6%,17%,1%,-1%,0%,1%,-2%
Other Income+,17,-68,7,74,75,100,"1,408",85,236,34,64,78,74
Interest,19,17,24,28,22,23,20,9,1,1,2,1,1
Depreciation,78,107,49,46,40,33,60,59,15,16,18,23,26
Profit before tax,-26,-166,7,61,84,114,"1,383",177,221,13,45,57,41
Tax %,35%,1%,50%,30%,24%,24%,4%,19%,-4%,36%,13%,16%,
Net Profit+,19,-140,70,42,64,87,"1,327",144,230,8,40,48,33
EPS in Rs,1.08,-8.39,4.06,2.47,3.75,5.17,93.81,10.05,16.89,0.24,2.84,3.40,2.38
Dividend Payout %,149%,0%,0%,0%,0%,97%,11%,25%,18%,212%,26%,29%,
