Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,238,227,219,199,198,192,209,184,267,170,170,159,190
Expenses+,349,357,345,354,331,318,284,295,294,298,292,251,298
Operating Profit,-111,-129,-126,-154,-133,-126,-75,-111,-27,-128,-122,-92,-108
OPM %,-47%,-57%,-57%,-77%,-67%,-65%,-36%,-60%,-10%,-75%,-72%,-58%,-57%
Other Income+,138,127,199,113,175,144,145,199,61,170,161,48,32
Interest,581,592,641,645,665,691,689,705,769,728,716,754,742
Depreciation,184,181,181,166,170,166,164,156,155,150,151,145,142
Profit before tax,-738,-776,-749,-852,-793,-839,-784,-773,-890,-836,-828,-943,-960
Tax %,0%,0%,-0%,0%,0%,0%,-0%,0%,0%,0%,-0%,0%,0%
Net Profit+,-738,-776,-749,-852,-793,-839,-784,-773,-890,-836,-828,-943,-960
EPS in Rs,-11.71,-12.31,-11.88,-13.52,-12.58,-13.32,-12.44,-12.28,-14.13,-13.27,-13.14,-14.97,-15.24
Raw PDF,,,,,,,,,,,,,
