Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,699","1,024","1,393","1,538","1,496","1,758","1,685","1,491","2,714","3,158","3,436","4,506","4,681"
Expenses+,"4,640",974,"1,333","1,465","1,450","1,657","1,603","1,424","2,555","2,883","3,111","4,089","4,264"
Operating Profit,59,50,61,73,46,100,82,67,159,275,325,417,418
OPM %,1%,5%,4%,5%,3%,6%,5%,4%,6%,9%,9%,9%,9%
Other Income+,60,24,24,30,47,51,44,36,37,34,31,38,34
Interest,40,23,21,35,38,43,53,47,61,82,100,112,103
Depreciation,29,16,17,19,23,26,42,44,48,51,64,75,78
Profit before tax,51,34,47,49,32,83,31,11,86,176,192,267,270
Tax %,13%,29%,23%,15%,29%,19%,30%,-54%,18%,13%,12%,14%,
Net Profit+,44,24,37,42,23,67,22,17,70,153,169,231,234
EPS in Rs,8.92,5.79,8.47,9.38,5.56,15.54,4.98,3.99,15.74,34.47,40.11,54.06,54.62
Dividend Payout %,11%,19%,18%,16%,18%,10%,0%,0%,16%,11%,44%,21%,
