Metric,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023
Sales+,355,432,470,321,385,413,470,472,571,471,530,478,584
Expenses+,321,388,414,303,355,376,428,432,513,433,480,443,524
Operating Profit,34,44,56,18,30,37,42,40,58,38,50,34,60
OPM %,9%,10%,12%,6%,8%,9%,9%,8%,10%,8%,10%,7%,10%
Other Income+,1,1,1,1,3,2,-3,-1,2,2,2,11,2
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,22,21,20,19,18,17,17,17,18,19,19,19,20
Profit before tax,12,23,36,-1,14,21,21,21,41,20,32,25,42
Tax %,27%,28%,26%,-6%,26%,26%,27%,26%,27%,23%,18%,25%,27%
Net Profit+,9,17,27,-1,11,16,15,16,30,15,26,19,30
EPS in Rs,0.30,0.59,0.95,-0.05,0.36,0.54,0.53,0.53,1.04,0.54,0.94,0.64,1.01
Raw PDF,,,,,,,,,,,,,
