Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,301,327,340,282,274,482,490,493,477,472,449,435,418
Expenses+,293,312,346,268,262,460,461,470,448,438,426,409,385
Operating Profit,8,15,-5,13,13,22,29,23,29,34,23,27,34
OPM %,3%,5%,-2%,5%,5%,5%,6%,5%,6%,7%,5%,6%,8%
Other Income+,8,3,34,4,3,3,15,5,5,1,10,3,2
Interest,1,2,2,1,2,2,3,7,8,8,7,5,5
Depreciation,5,3,4,4,4,4,6,6,7,6,4,6,6
Profit before tax,10,13,24,12,9,19,36,15,20,21,21,19,25
Tax %,30%,4%,27%,21%,42%,6%,33%,20%,31%,27%,-7%,23%,33%
Net Profit+,7,13,17,9,5,18,24,12,14,15,22,15,17
EPS in Rs,0.83,1.46,2.01,1.09,0.63,2.09,2.80,1.41,1.60,1.75,2.57,1.67,1.90
Raw PDF,,,,,,,,,,,,,
