Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"1,555","1,251","1,992","2,498","2,727","3,075","4,014","4,710","4,934"
Interest,"1,164",814,980,"1,235","1,337","1,415","1,886","2,317","2,529"
Expenses+,"2,844","2,399","1,322","1,331","1,627","1,960","2,222","2,635","2,926"
Financing Profit,"-2,453","-1,963",-311,-68,-238,-300,-94,-242,-521
Financing Margin %,-158%,-157%,-16%,-3%,-9%,-10%,-2%,-5%,-11%
Other Income+,42,113,433,235,324,625,670,776,923
Depreciation,0,99,93,83,81,69,62,61,0
Profit before tax,"-2,411","-1,949",30,84,5,256,514,474,402
Tax %,4%,0%,0%,0%,0%,0%,-30%,-6%,
Net Profit+,"-2,504","-1,949",30,84,5,256,670,501,411
EPS in Rs,-637.29,-413.32,5.94,16.62,1.07,50.46,64.02,47.73,39.13
Dividend Payout %,-0%,0%,0%,0%,0%,0%,0%,0%,
