Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,96,121,153,125,102,132,140,170,256,264
Expenses+,80,97,124,97,94,103,107,118,194,204
Operating Profit,16,24,29,28,8,28,33,51,62,60
OPM %,17%,20%,19%,22%,8%,21%,24%,30%,24%,23%
Other Income+,0,0,0,-16,7,7,4,5,14,18
Interest,2,3,1,9,9,8,5,5,7,7
Depreciation,4,10,16,29,27,22,19,22,26,27
Profit before tax,10,12,12,-26,-21,5,13,30,43,45
Tax %,35%,19%,17%,-25%,-33%,37%,31%,29%,22%,
Net Profit+,7,9,10,-20,-14,3,9,21,33,35
EPS in Rs,5.80,0.50,0.53,-1.05,-0.74,0.18,0.47,1.04,1.26,1.35
Dividend Payout %,0%,9%,2%,0%,0%,0%,0%,0%,0%,
