Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,252,266,280,316,332,392,443,472,513,535,541,592,631
Expenses+,213,213,206,257,252,302,338,369,400,401,398,442,463
Operating Profit,39,53,74,60,80,90,104,103,113,134,142,151,168
OPM %,15%,20%,26%,19%,24%,23%,24%,22%,22%,25%,26%,25%,27%
Other Income+,14,14,10,10,9,9,11,10,11,9,10,10,10
Interest,7,6,10,7,8,8,11,4,2,3,3,2,3
Depreciation,4,4,4,4,4,5,5,5,8,8,9,8,11
Profit before tax,42,57,69,57,76,86,99,104,114,132,141,150,164
Tax %,22%,22%,33%,16%,23%,19%,11%,14%,8%,17%,16%,17%,17%
Net Profit+,34,45,48,50,60,71,84,91,106,110,119,126,138
EPS in Rs,1.03,1.41,1.52,1.56,1.85,2.22,2.29,2.66,3.09,3.23,3.46,3.67,4.02
Raw PDF,,,,,,,,,,,,,
