Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,201,155,210,220,157,111,156,123,154,154,156,89,88
Expenses+,186,136,183,179,150,112,156,114,132,173,163,111,114
Operating Profit,14,18,28,41,7,-1,0,8,22,-19,-7,-21,-26
OPM %,7%,12%,13%,19%,5%,-1%,0%,7%,14%,-12%,-4%,-24%,-29%
Other Income+,3,3,6,8,12,13,5,5,10,22,13,15,3
Interest,0,1,2,2,2,6,3,2,1,6,5,5,2
Depreciation,7,2,2,2,2,2,2,3,2,2,2,3,3
Profit before tax,9,17,30,45,15,4,-0,9,29,-6,-2,-14,-27
Tax %,4%,19%,26%,36%,29%,-39%,356%,86%,32%,-21%,-12%,-2%,
Net Profit+,9,14,22,29,10,5,-1,1,19,-4,-1,-13,-27
EPS in Rs,11.37,18.15,28.53,37.09,13.48,6.64,-0.94,1.61,24.90,-5.74,-1.72,-17.12,-34.94
Dividend Payout %,24%,15%,9%,8%,22%,45%,-319%,186%,12%,-52%,-174%,-18%,
