Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,367,401,485,595,607,769,853,"1,188","1,547","1,418","1,690","1,812","1,782"
Expenses+,318,352,424,534,542,701,785,"1,070","1,410","1,338","1,532","1,638","1,635"
Operating Profit,49,48,62,61,65,68,69,119,137,80,159,174,147
OPM %,13%,12%,13%,10%,11%,9%,8%,10%,9%,6%,9%,10%,8%
Other Income+,4,1,-3,4,4,4,9,12,10,6,14,18,19
Interest,10,9,10,8,4,2,2,2,-7,2,4,8,11
Depreciation,46,39,35,34,34,40,37,30,28,28,33,29,32
Profit before tax,-3,2,13,24,30,29,39,99,127,56,135,155,122
Tax %,0%,6%,-1%,0%,0%,1%,14%,1%,20%,31%,29%,24%,
Net Profit+,-3,2,13,24,30,29,34,97,102,39,97,118,93
EPS in Rs,-0.06,0.05,0.28,0.53,0.66,0.64,0.75,2.16,2.13,0.76,1.88,2.15,1.70
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,
