Metric,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,287","3,244","6,094","8,762","11,248","6,603","6,833",795,"1,888","5,048","7,299","8,140","8,512"
Expenses+,"1,140","3,001","5,910","8,425","10,876","6,520","6,726","1,147","2,075","4,870","6,862","7,662","8,063"
Operating Profit,147,243,184,338,372,83,107,-352,-187,178,437,478,449
OPM %,11%,7%,3%,4%,3%,1%,2%,-44%,-10%,4%,6%,6%,5%
Other Income+,6,41,-31,84,"6,005",168,76,146,55,62,134,141,178
Interest,34,71,92,132,149,73,101,62,62,89,99,95,97
Depreciation,18,41,61,91,137,67,151,148,129,124,128,142,149
Profit before tax,102,171,1,199,"6,091",110,-69,-416,-322,27,345,382,381
Tax %,33%,34%,"6,392%",57%,-1%,19%,-74%,-29%,-21%,61%,21%,32%,
Net Profit+,69,112,-59,86,"6,131",89,-18,-295,-254,10,271,258,258
EPS in Rs,2.51,3.31,-2.13,1.18,161.21,2.29,-0.02,-6.72,-5.18,0.14,5.51,5.41,5.36
Dividend Payout %,0%,15%,-18%,32%,0%,16%,0%,0%,0%,291%,11%,8%,
