Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,469,514,499,590,604,437,555,759,785,809,803
Expenses+,0,442,465,457,552,549,369,485,672,649,684,682
Operating Profit,0,27,49,42,38,56,68,70,87,136,125,121
OPM %,,6%,10%,8%,6%,9%,16%,13%,11%,17%,15%,15%
Other Income+,0,8,-1,3,3,5,-16,-8,8,13,20,35
Interest,0,17,10,9,8,8,6,5,4,5,3,3
Depreciation,0,5,7,7,7,12,10,11,11,13,13,13
Profit before tax,0,13,31,30,26,41,35,46,80,132,129,140
Tax %,50%,20%,35%,36%,35%,34%,13%,25%,25%,25%,26%,
Net Profit+,0,10,21,19,17,27,30,35,59,98,96,104
EPS in Rs,0.20,1.07,2.17,2.02,1.76,2.87,3.16,3.64,6.26,10.34,10.09,11.00
Dividend Payout %,0%,9%,7%,7%,9%,7%,9%,14%,8%,6%,6%,
