Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,452","1,038",982,"1,740","1,617",955,792,"1,631","1,738","1,057","1,046","1,915","1,553"
Expenses+,"1,214",952,777,"1,315","1,312",827,695,"1,317","1,554","1,037",876,"1,566","1,348"
Operating Profit,238,85,206,425,305,128,97,314,184,20,171,348,205
OPM %,16%,8%,21%,24%,19%,13%,12%,19%,11%,2%,16%,18%,13%
Other Income+,14,116,24,21,16,15,29,27,24,32,37,19,14
Interest,8,3,7,8,4,3,5,4,3,4,6,5,4
Depreciation,15,14,27,31,12,15,16,22,14,15,34,27,14
Profit before tax,229,184,195,406,306,124,105,316,190,34,168,335,200
Tax %,29%,27%,19%,19%,27%,25%,9%,20%,28%,-2%,15%,17%,24%
Net Profit+,163,134,158,328,223,93,96,254,136,34,143,279,153
EPS in Rs,36.18,29.93,35.27,73.09,49.60,20.72,21.36,56.56,30.33,7.61,31.89,62.01,33.98
Raw PDF,,,,,,,,,,,,,
