Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,211,224,221,243,279,274,226,170,212,234,274,278,315
Expenses+,189,201,200,220,261,251,213,164,208,235,258,279,321
Operating Profit,22,23,21,22,18,23,13,6,4,-1,17,-1,-6
OPM %,10%,10%,9%,9%,6%,9%,6%,3%,2%,-0%,6%,-0%,-2%
Other Income+,2,0,2,1,1,1,1,1,1,1,1,1,0
Interest,15,16,16,14,12,10,8,8,8,9,11,11,12
Depreciation,6,5,5,5,5,5,5,5,5,5,5,5,5
Profit before tax,2,3,3,4,2,10,1,-6,-8,-14,1,-17,-23
Tax %,31%,31%,31%,31%,32%,26%,39%,-6%,-24%,-25%,39%,-29%,
Net Profit+,1,2,2,3,1,7,1,-6,-6,-10,1,-12,-16
EPS in Rs,0.82,1.10,1.14,1.69,0.86,4.35,0.39,-3.38,-3.67,-6.13,0.53,-7.11,-9.56
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
