Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,41,110,123,155,171,186,198,215,234,273,312,326
Expenses+,38,99,105,131,147,157,159,167,191,232,271,285
Operating Profit,3,10,18,24,24,29,38,47,43,41,41,42
OPM %,7%,9%,15%,16%,14%,16%,19%,22%,19%,15%,13%,13%
Other Income+,0,1,1,3,8,3,1,4,5,4,8,8
Interest,0,5,6,4,3,2,2,3,5,9,10,10
Depreciation,0,2,2,2,3,4,9,11,12,12,16,17
Profit before tax,3,5,11,20,26,27,29,37,32,23,23,23
Tax %,33%,33%,25%,25%,20%,17%,15%,7%,6%,22%,13%,
Net Profit+,2,3,8,15,21,22,25,34,30,18,20,19
EPS in Rs,2.10,3.66,9.84,14.39,9.88,10.17,12.77,17.68,14.32,8.17,10.60,9.61
Dividend Payout %,-0%,-0%,4%,3%,5%,2%,4%,3%,3%,6%,5%,
