Metric,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,Jun 2024,Jun 2025,TTM
Sales+,317,303,341,367,383,433,412,290,368,469,511,529,538
Expenses+,180,188,208,222,233,263,260,205,234,284,319,334,344
Operating Profit,137,115,133,145,150,170,152,86,134,186,193,194,194
OPM %,43%,38%,39%,39%,39%,39%,37%,29%,36%,40%,38%,37%,36%
Other Income+,5,6,9,20,3,9,6,11,8,21,-24,12,11
Interest,0,0,1,0,0,-0,6,4,3,2,2,3,5
Depreciation,12,13,13,14,14,17,32,34,35,34,31,28,30
Profit before tax,129,107,128,150,138,162,120,58,103,170,136,175,171
Tax %,35%,37%,35%,35%,36%,34%,28%,27%,26%,26%,31%,26%,
Net Profit+,84,67,83,97,89,106,87,42,76,127,94,129,126
EPS in Rs,56.23,45.16,55.62,65.15,59.75,71.27,58.16,28.27,51.04,84.90,62.88,86.44,84.54
Dividend Payout %,87%,80%,81%,78%,77%,45%,17%,184%,121%,77%,103%,104%,
