Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,777","1,692","1,488","1,295","1,319","1,405","1,815"
Expenses+,129,139,247,122,225,168,214
Operating Profit,"1,649","1,553","1,240","1,173","1,094","1,237","1,601"
OPM %,93%,92%,83%,91%,83%,88%,88%
Other Income+,82,218,404,106,891,147,278
Interest,"1,237","1,151",996,809,767,759,882
Depreciation,704,622,546,485,308,287,397
Profit before tax,-211,-1,102,-15,909,338,600
Tax %,-141%,"-1,470%",39%,-79%,23%,26%,
Net Profit+,86,15,62,-3,698,251,480
EPS in Rs,8.20,1.46,5.94,-0.30,66.81,4.17,7.95
Dividend Payout %,0%,0%,0%,0%,0%,5%,
