Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"10,203","9,319","8,929","10,312","10,838","12,165","11,555","11,932","13,247","13,169","12,646","13,133","15,735"
Expenses+,"8,453","7,561","7,272","8,380","8,708","9,750","9,271","9,562","11,174","10,418","10,289","10,340","12,906"
Operating Profit,"1,750","1,757","1,657","1,932","2,130","2,415","2,284","2,370","2,073","2,751","2,358","2,793","2,829"
OPM %,17%,19%,19%,19%,20%,20%,20%,20%,16%,21%,19%,21%,18%
Other Income+,532,271,595,351,552,356,444,335,399,348,392,509,576
Interest,11,8,16,12,7,12,30,47,75,120,147,224,287
Depreciation,67,75,76,87,92,93,93,95,98,102,119,118,119
Profit before tax,"2,203","1,945","2,160","2,184","2,584","2,666","2,606","2,564","2,299","2,876","2,484","2,961","2,999"
Tax %,22%,24%,21%,25%,22%,24%,23%,24%,40%,24%,27%,25%,29%
Net Profit+,"1,719","1,473","1,705","1,644","2,020","2,033","2,011","1,942","1,385","2,196","1,802","2,210","2,122"
EPS in Rs,59.42,52.05,60.25,58.11,71.39,71.78,72.05,69.55,49.61,78.62,64.52,79.15,75.99
Raw PDF,,,,,,,,,,,,,
