Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,401,102,145,418,543,642,686
Expenses+,376,86,127,348,453,549,593
Operating Profit,24,16,18,70,90,93,94
OPM %,6%,16%,12%,17%,17%,14%,14%
Other Income+,2,6,4,3,14,10,10
Interest,5,3,1,2,3,2,1
Depreciation,19,14,8,12,19,21,23
Profit before tax,3,4,13,58,82,79,79
Tax %,39%,26%,24%,25%,24%,24%,
Net Profit+,2,3,10,44,63,60,60
EPS in Rs,"3,233.33","5,000.00","16,450.00","72,650.00",10.42,10.02,9.98
Dividend Payout %,0%,0%,0%,0%,24%,24%,
