Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"108,462","109,688","108,056","112,079","95,752","111,348","114,678","113,888","99,957","110,608","109,633","110,825","100,856"
Expenses+,"110,233","108,014","102,927","102,434","87,512","109,187","109,796","111,800","97,661","105,113","103,837","103,365","94,003"
Operating Profit,"-1,771","1,674","5,130","9,646","8,240","2,160","4,882","2,089","2,296","5,495","5,795","7,461","6,852"
OPM %,-2%,2%,5%,9%,9%,2%,4%,2%,2%,5%,5%,7%,7%
Other Income+,280,564,"1,358","1,299","1,040",791,594,933,526,462,923,507,715
Interest,603,693,537,627,590,620,720,733,944,931,757,817,824
Depreciation,"1,094","1,123","1,238","1,371","1,247","1,345","1,632","1,484","1,530","1,518","1,623","1,604","1,612"
Profit before tax,"-3,187",422,"4,713","8,947","7,443",986,"3,124",805,348,"3,509","4,338","5,547","5,131"
Tax %,-22%,-5%,23%,24%,22%,28%,13%,21%,59%,28%,21%,26%,25%
Net Profit+,"-2,476",444,"3,608","6,766","5,827",713,"2,709",634,143,"2,544","3,415","4,111","3,859"
EPS in Rs,-11.63,2.09,16.96,31.80,27.38,3.35,12.73,2.98,0.67,11.95,16.05,19.32,18.14
Raw PDF,,,,,,,,,,,,,
