Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,172","3,202","4,349","5,446","6,285","6,965","6,879"
Expenses+,"2,945","2,998","4,057","5,110","5,836","6,514","6,481"
Operating Profit,228,204,292,336,449,451,398
OPM %,7%,6%,7%,6%,7%,6%,6%
Other Income+,-1,5,4,11,10,8,15
Interest,63,72,85,99,108,118,142
Depreciation,51,58,71,85,106,127,140
Profit before tax,112,80,140,163,246,215,130
Tax %,27%,26%,26%,25%,25%,26%,
Net Profit+,82,59,104,123,184,160,96
EPS in Rs,2.72,1.95,3.46,3.19,4.78,4.16,2.49
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,
