Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,418,480,507,643,769,674,679,"1,069","1,391","1,213","1,447","1,512"
Expenses+,339,396,441,562,667,591,600,911,"1,160","1,010","1,217","1,270"
Operating Profit,79,84,66,81,102,82,79,158,231,202,229,241
OPM %,19%,18%,13%,13%,13%,12%,12%,15%,17%,17%,16%,16%
Other Income+,1,2,7,8,3,7,3,6,15,12,15,23
Interest,34,37,44,49,47,39,27,28,35,37,38,39
Depreciation,12,13,16,19,21,20,20,23,26,34,38,40
Profit before tax,34,36,14,22,37,30,34,112,185,144,168,185
Tax %,36%,41%,52%,35%,35%,27%,-1%,28%,26%,30%,25%,
Net Profit+,22,21,7,14,24,22,34,81,137,101,127,138
EPS in Rs,3.66,3.56,1.10,2.42,4.08,3.72,5.78,13.63,22.86,15.43,18.81,20.70
Dividend Payout %,11%,6%,0%,8%,5%,5%,3%,3%,2%,2%,2%,
