Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"2,195","2,534","2,656","2,524","2,290","2,457","2,513","2,319","1,540","2,177","5,418","4,190","5,080"
Interest,"1,177","1,233","1,192","1,131","1,117","1,122","1,294","1,100",509,595,950,"1,515","2,027"
Expenses+,816,"1,068","1,147","1,341",872,880,"1,112","1,950",623,838,880,"2,778","2,693"
Financing Profit,201,233,318,52,301,454,107,-731,408,744,"3,588",-103,359
Financing Margin %,9%,9%,12%,2%,13%,18%,4%,-32%,26%,34%,66%,-2%,7%
Other Income+,30,25,28,43,39,38,49,39,109,184,"-1,363",33,8
Depreciation,33,35,39,48,49,50,75,56,49,61,59,65,79
Profit before tax,198,223,306,47,291,442,82,-749,468,866,"2,166",-135,288
Tax %,19%,16%,30%,73%,19%,31%,67%,-25%,20%,21%,22%,-27%,
Net Profit+,160,187,213,13,237,304,27,-559,375,685,"1,683",-98,218
EPS in Rs,7.99,9.49,8.93,0.86,9.99,11.29,1.00,-20.73,4.90,8.91,21.73,-1.26,2.75
Dividend Payout %,10%,8%,9%,93%,8%,7%,0%,0%,8%,22%,9%,0%,
