Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,41.93,37.31,22.01,28.14,12.18,11.95,11.95,1.59,2.53,3.49,0.16,0.00,0.00
Expenses+,50.60,39.99,24.36,31.08,22.34,13.26,19.78,28.41,8.67,25.70,0.75,10.12,1.41
Operating Profit,-8.67,-2.68,-2.35,-2.94,-10.16,-1.31,-7.83,-26.82,-6.14,-22.21,-0.59,-10.12,-1.41
OPM %,-20.68%,-7.18%,-10.68%,-10.45%,-83.42%,-10.96%,-65.52%,"-1,686.79%",-242.69%,-636.39%,-368.75%,,
Other Income+,2.02,1.80,3.30,2.57,2.57,3.86,-0.78,1.37,13.46,-3.94,0.54,28.48,5.22
Interest,4.55,0.40,0.04,0.06,0.26,0.04,0.02,0.01,0.06,0.27,0.36,1.30,1.22
Depreciation,0.92,2.02,1.96,1.84,3.16,1.78,1.62,1.18,1.13,0.90,0.84,0.73,0.72
Profit before tax,-12.12,-3.30,-1.05,-2.27,-11.01,0.73,-10.25,-26.64,6.13,-27.32,-1.25,16.33,1.87
Tax %,0.00%,0.00%,0.00%,0.00%,1.36%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,1.10%,
Net Profit+,-12.12,-3.30,-1.05,-2.26,-11.15,0.73,-10.25,-26.64,6.13,-27.33,-1.25,16.15,1.70
EPS in Rs,-6.22,-1.69,-0.54,-1.16,-5.72,0.37,-5.26,-13.66,3.14,-14.02,-0.64,8.28,0.87
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
