Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,074","4,561","4,112","3,882","2,066","2,488","2,154","2,097","2,688","3,268","3,225","3,474","3,535"
Expenses+,"3,357","3,845","3,771","3,493","2,253","2,512","1,922","1,818","2,304","2,754","2,627","2,877","2,947"
Operating Profit,717,717,341,389,-188,-24,232,279,384,513,599,597,588
OPM %,18%,16%,8%,10%,-9%,-1%,11%,13%,14%,16%,19%,17%,17%
Other Income+,82,-63,32,120,77,17,537,29,75,40,53,57,68
Interest,440,522,547,564,92,114,74,57,42,30,25,30,29
Depreciation,333,418,308,300,60,61,64,68,70,67,77,98,105
Profit before tax,27,-287,-481,-355,-264,-181,630,183,346,455,550,527,522
Tax %,50%,-12%,-11%,1%,2%,-126%,33%,20%,16%,23%,23%,23%,
Net Profit+,13,-251,-428,-358,-268,49,421,152,291,351,424,406,403
EPS in Rs,0.35,-8.31,-14.10,-11.78,-8.90,1.57,13.74,4.91,9.56,11.49,13.91,13.37,13.26
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,21%,22%,20%,22%,
