Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,136,153,157,191,175,149,167,167,132,112,123
Expenses+,123,141,147,182,167,142,162,165,130,113,124
Operating Profit,12,11,11,9,8,7,5,2,2,-0,-1
OPM %,9%,8%,7%,5%,4%,5%,3%,1%,1%,-0%,-0%
Other Income+,2,2,2,4,3,2,3,3,1,2,2
Interest,7,7,8,9,7,6,5,4,4,3,4
Depreciation,4,4,4,4,3,2,3,2,1,1,1
Profit before tax,3,2,1,1,0,1,0,-1,-3,-3,-3
Tax %,31%,1%,59%,-13%,-93%,35%,22%,15%,-25%,-25%,
Net Profit+,2,2,0,1,-0,1,0,-1,-2,-2,-2
EPS in Rs,1.53,1.37,0.31,0.49,-0.04,0.49,0.08,-1.01,-1.35,-1.71,-1.72
Dividend Payout %,65%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
