Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,-0,4,10,16,18,20,19,31,97,146,98,3
Expenses+,0,4,9,14,15,19,17,27,87,128,89,4
Operating Profit,-0,0,1,2,2,2,2,4,11,19,9,-1
OPM %,,7%,8%,10%,14%,8%,9%,14%,11%,13%,10%,-46%
Other Income+,0,0,0,0,0,0,0,-0,0,0,4,-20
Interest,0,0,0,1,1,1,1,1,1,1,1,-0
Depreciation,-0,0,0,0,0,0,0,1,1,1,0,0
Profit before tax,0,0,0,1,1,0,0,3,9,17,12,-21
Tax %,25%,33%,150%,30%,31%,252%,-187%,24%,25%,26%,31%,-1%
Net Profit+,0,0,-0,1,1,-0,1,2,7,13,8,-21
EPS in Rs,,0.17,-0.07,1.82,0.58,-0.19,0.37,0.91,1.01,1.18,0.50,-1.30
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
