Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,953,"1,037","1,144","1,304","1,059","1,124","1,883","2,352","2,099","2,206","1,974"
Expenses+,840,869,877,"1,078",987,825,"1,476","2,035","1,994","1,985","1,859"
Operating Profit,113,168,267,226,72,299,407,318,105,221,114
OPM %,12%,16%,23%,17%,7%,27%,22%,14%,5%,10%,6%
Other Income+,4,3,4,-1,6,3,6,22,30,24,28
Interest,23,18,15,12,16,15,13,24,30,39,33
Depreciation,18,21,26,26,30,34,44,47,52,65,65
Profit before tax,77,132,230,187,32,253,356,268,53,141,44
Tax %,21%,23%,37%,37%,35%,26%,26%,25%,26%,23%,
Net Profit+,60,102,146,117,21,188,264,200,40,109,33
EPS in Rs,19.55,32.98,47.42,37.94,6.78,61.08,85.89,64.95,12.83,35.30,10.56
Dividend Payout %,10%,-0%,8%,11%,30%,12%,12%,15%,58%,28%,
