Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"5,082","5,057","4,879","5,158","5,267","5,770","5,186","4,511","4,858","5,608","4,998","4,149","4,280"
Expenses+,"4,458","4,294","4,006","4,267","4,548","5,131","4,588","3,715","4,373","5,749","4,912","4,507","4,309"
Operating Profit,624,763,873,891,720,639,599,796,486,-141,86,-358,-29
OPM %,12%,15%,18%,17%,14%,11%,12%,18%,10%,-3%,2%,-9%,-1%
Other Income+,-135,22,21,17,14,26,24,32,23,224,99,662,415
Interest,411,478,440,380,365,350,343,271,198,242,240,266,163
Depreciation,320,303,291,276,279,265,256,247,226,219,220,239,279
Profit before tax,-241,4,164,252,90,50,24,311,85,-378,-275,-202,-56
Tax %,0%,127%,29%,37%,21%,49%,-126%,33%,23%,-55%,-17%,-29%,
Net Profit+,-239,-1,119,159,69,26,51,209,87,-125,-227,-144,13
EPS in Rs,-7.92,-0.11,3.80,5.41,2.11,0.68,1.62,6.67,2.53,-4.09,-7.34,-4.64,0.41
Dividend Payout %,0%,0%,26%,19%,38%,118%,37%,15%,40%,0%,0%,0%,
