Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,2,37,-6,10,28,-2,-31,7,260,-9,39,113,-14
Expenses+,2,3,2,2,20,2,2,2,245,9,6,93,4
Operating Profit,-0,34,-8,7,9,-4,-33,5,15,-18,33,20,-17
OPM %,-19%,92%,,76%,31%,,,69%,6%,,85%,17%,127%
Other Income+,0,-1,3,0,0,0,1,0,0,0,0,0,0
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,1,0,0,0,0,0,0,0,0,0,0
Profit before tax,-1,33,-6,7,8,-5,-32,5,15,-18,33,20,-17
Tax %,-3%,27%,9%,20%,28%,31%,0%,0%,1%,1%,2%,37%,
Net Profit+,-1,24,-7,6,6,-6,-32,5,15,-18,32,12,-20
EPS in Rs,-0.61,23.06,-6.62,5.37,5.70,-5.67,-30.55,4.75,13.96,-17.20,30.64,11.75,-19.15
Dividend Payout %,0%,9%,0%,0%,44%,0%,0%,0%,0%,0%,8%,0%,
