Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"80,270","94,474","115,448","85,689","38,066","65,477","91,445","60,356","66,924","96,630","199,190","131,542","175,212"
Expenses+,"79,852","94,025","115,046","85,354","38,016","65,465","91,609","60,318","66,847","96,564","199,203","131,500","175,036"
Operating Profit,418,450,402,334,50,12,-164,37,77,67,-14,42,176
OPM %,1%,0%,0%,0%,0%,0%,-0%,0%,0%,0%,-0%,0%,0%
Other Income+,1,1,21,12,14,12,206,21,22,21,54,9,12
Interest,-0,-0,19,-0,-0,-0,43,30,32,33,37,38,39
Depreciation,24,27,26,31,11,11,11,11,12,12,11,12,13
Profit before tax,395,423,377,315,53,13,-13,17,54,43,-8,2,137
Tax %,6%,0%,3%,2%,14%,2%,142%,32%,16%,18%,-123%,642%,24%
Net Profit+,373,422,366,309,45,12,-30,12,46,36,2,-10,104
EPS in Rs,12.63,14.28,12.40,10.48,1.53,0.42,-1.03,0.40,1.54,1.20,0.07,-0.32,3.52
Raw PDF,,,,,,,,,,,,,
