Metric,Mar 2011,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,031","1,714","1,695","2,059","2,044","1,912","2,141","2,413","2,616","2,712","2,759"
Expenses+,830,"1,261","1,249","1,507","1,540","1,638","1,809","2,081","2,329","2,243","2,177"
Operating Profit,201,452,445,552,503,274,331,332,286,469,582
OPM %,20%,26%,26%,27%,25%,14%,15%,14%,11%,17%,21%
Other Income+,14,26,46,54,39,16,29,-20,22,4,34
Interest,56,49,49,57,62,48,57,86,120,159,176
Depreciation,69,214,211,240,283,308,308,281,311,294,317
Profit before tax,91,216,231,309,197,-65,-4,-55,-122,19,124
Tax %,12%,33%,33%,32%,20%,154%,-524%,-45%,26%,83%,
Net Profit+,80,145,155,210,159,-165,18,-30,-153,3,136
EPS in Rs,,,9.58,13.03,10.10,-10.53,1.15,-1.90,-9.79,0.21,8.70
Dividend Payout %,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,
