Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,590","4,254","4,697","6,662","4,985","4,584","4,811","4,889","4,639","4,826","4,727"
Expenses+,"4,326","4,011","4,414","6,325","4,780","4,281","4,560","4,515","4,379","4,519","4,457"
Operating Profit,264,243,283,338,205,303,250,375,260,307,270
OPM %,6%,6%,6%,5%,4%,7%,5%,8%,6%,6%,6%
Other Income+,46,30,-26,65,46,95,55,46,82,76,82
Interest,108,80,59,118,171,76,70,44,63,70,67
Depreciation,27,30,34,44,74,75,69,74,110,144,151
Profit before tax,174,163,164,241,7,246,166,303,168,170,134
Tax %,38%,37%,49%,36%,244%,23%,25%,29%,22%,21%,
Net Profit+,108,102,84,154,-10,189,124,216,131,133,103
EPS in Rs,9.62,9.08,7.39,13.76,-0.82,16.64,11.19,18.78,11.38,11.57,8.94
Dividend Payout %,26%,28%,43%,23%,0%,0%,27%,21%,26%,26%,
