Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,605","2,124","1,711","1,993","1,338","1,903","2,446","3,343","2,620","1,796","1,039","1,047","1,088"
Expenses+,"2,408","1,948","1,886","1,941","1,203","1,712","2,294","3,179","2,764","2,108","1,184","1,098","1,152"
Operating Profit,198,177,-176,53,135,191,152,164,-144,-313,-145,-50,-64
OPM %,8%,8%,-10%,3%,10%,10%,6%,5%,-5%,-17%,-14%,-5%,-6%
Other Income+,207,173,184,92,-9,40,157,66,-5,81,60,312,379
Interest,24,10,31,60,32,54,69,81,97,77,71,44,21
Depreciation,61,73,72,60,51,31,66,50,44,23,15,14,14
Profit before tax,320,266,-94,26,42,146,173,99,-291,-331,-171,203,280
Tax %,28%,34%,-39%,110%,37%,48%,51%,29%,-1%,33%,0%,0%,
Net Profit+,231,177,-58,-2,27,75,85,70,-289,-441,-171,203,247
EPS in Rs,34.31,26.31,-8.63,-0.37,3.96,11.22,12.58,10.48,-42.96,-65.54,-25.49,30.20,36.78
Dividend Payout %,41%,38%,0%,-820%,76%,54%,16%,10%,0%,0%,0%,0%,
