Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales+,360,360,360,378,353,351,338,331,332,336,338,337,335
Expenses+,324,358,505,242,216,236,263,291,258,271,248,291,255
Operating Profit,36,1,-145,136,136,115,75,40,74,65,91,46,80
OPM %,10%,0%,-40%,36%,39%,33%,22%,12%,22%,19%,27%,14%,24%
Other Income+,2,5,4,-571,39,4,4,-12,5,10,3,3,5
Interest,190,196,195,201,196,206,193,210,220,229,241,238,253
Depreciation,128,129,127,120,82,82,80,33,61,60,63,60,64
Profit before tax,-280,-318,-464,-756,-102,-170,-195,-215,-202,-214,-210,-249,-232
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit+,-280,-318,-464,-756,-102,-170,-195,-215,-202,-214,-210,-249,-232
EPS in Rs,-0.22,-0.25,-0.37,-0.60,-0.08,-0.13,-0.15,-0.17,-0.16,-0.17,-0.16,-0.19,-0.18
Raw PDF,,,,,,,,,,,,,
