Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,10,12,14,53,105,60,83,8,37,23,13,21,25
Expenses+,8,24,18,49,101,55,80,8,37,27,13,32,36
Operating Profit,2,-13,-4,4,4,5,3,-0,0,-4,1,-11,-11
OPM %,20%,-109%,-30%,8%,4%,8%,3%,-0%,0%,-15%,6%,-52%,-42%
Other Income+,0,-14,-60,0,0,4,0,1,1,5,1,1,1
Interest,1,1,0,0,0,1,1,1,1,1,1,0,0
Depreciation,1,1,4,2,1,0,0,0,0,0,0,0,0
Profit before tax,0,-29,-67,2,3,7,2,0,0,0,1,-11,-10
Tax %,25%,0%,-0%,3%,-23%,16%,12%,37%,60%,27%,17%,0%,
Net Profit+,0,-29,-67,2,4,6,2,0,0,0,1,-11,-10
EPS in Rs,0.00,-4.00,-9.28,0.32,0.47,0.63,0.17,0.02,0.01,0.03,0.05,-0.33,-0.32
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
