Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,736","1,731","2,127","2,476","2,686","3,043","3,261","3,117","4,400","4,234","3,738","3,307","3,391"
Expenses+,"1,669","1,631","1,990","2,198","2,299","2,734","3,282","2,728","4,154","4,122","3,615","3,135","3,345"
Operating Profit,67,100,137,278,388,309,-21,389,246,112,123,172,47
OPM %,4%,6%,6%,11%,14%,10%,-1%,12%,6%,3%,3%,5%,1%
Other Income+,40,34,32,34,27,28,35,36,34,37,39,44,46
Interest,43,74,85,77,50,32,30,28,18,18,18,16,18
Depreciation,19,32,30,28,28,29,34,35,37,35,35,37,37
Profit before tax,45,28,54,206,337,277,-50,361,226,95,109,163,38
Tax %,25%,33%,29%,39%,41%,37%,-45%,26%,27%,26%,28%,28%,
Net Profit+,34,19,38,125,200,174,-27,268,165,70,79,117,23
EPS in Rs,24.14,13.26,27.14,88.55,141.77,123.61,-19.28,190.06,116.97,50.03,56.13,82.78,16.32
Dividend Payout %,14%,25%,18%,7%,6%,6%,0%,9%,11%,12%,12%,12%,
