Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,511,739,658,706,567,752,788,755,660,817,862,769,703
Expenses+,499,684,612,662,546,703,757,715,624,756,795,723,665
Operating Profit,12,55,46,44,21,49,31,40,36,61,67,46,38
OPM %,2%,7%,7%,6%,4%,7%,4%,5%,5%,7%,8%,6%,5%
Other Income+,6,9,6,3,22,4,5,2,4,2,3,2,2
Interest,5,6,6,6,5,5,7,6,6,6,6,5,5
Depreciation,13,14,14,14,14,15,15,18,20,20,22,19,19
Profit before tax,0,44,33,27,23,33,13,19,14,37,42,24,16
Tax %,315%,25%,25%,26%,21%,26%,5%,26%,27%,26%,26%,26%,26%
Net Profit+,-0,33,25,20,18,24,13,14,10,27,31,18,12
EPS in Rs,-0.01,1.53,1.16,0.92,0.86,1.14,0.60,0.67,0.49,1.27,1.47,0.82,0.57
Raw PDF,,,,,,,,,,,,,
