Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,345,407,547,798,815,899,689,577,747,752,770,810,860
Expenses+,273,304,391,596,618,739,566,471,629,634,620,683,736
Operating Profit,71,103,156,203,197,160,123,107,118,117,151,127,124
OPM %,21%,25%,29%,25%,24%,18%,18%,18%,16%,16%,20%,16%,14%
Other Income+,28,20,24,12,-8,35,26,20,-42,18,-0,36,83
Interest,18,16,19,20,23,4,8,6,5,10,7,8,11
Depreciation,11,11,13,20,21,9,13,17,17,19,26,29,32
Profit before tax,71,96,148,175,145,182,129,104,54,106,117,126,164
Tax %,42%,36%,32%,36%,39%,30%,26%,29%,57%,28%,30%,28%,
Net Profit+,41,61,100,113,89,127,95,74,23,77,82,90,115
EPS in Rs,3.97,5.81,8.00,7.95,5.70,11.99,9.43,6.64,1.45,6.80,7.21,8.00,10.39
Dividend Payout %,13%,12%,6%,8%,18%,8%,5%,8%,34%,7%,7%,6%,
