Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,293,370,422,526,652,757,780,902,"1,118","1,212","1,642","1,778","1,742"
Expenses+,250,289,353,429,516,593,659,706,821,941,"1,212","1,355","1,383"
Operating Profit,43,81,70,97,136,163,122,196,297,271,430,423,360
OPM %,15%,22%,16%,18%,21%,22%,16%,22%,27%,22%,26%,24%,21%
Other Income+,9,5,4,8,-0,3,4,7,3,3,2,6,9
Interest,13,13,18,29,47,64,61,43,58,90,156,207,211
Depreciation,7,11,7,7,9,11,19,18,20,23,32,30,29
Profit before tax,31,63,49,68,79,91,45,143,221,162,244,192,128
Tax %,28%,33%,30%,34%,35%,18%,47%,26%,21%,26%,23%,24%,
Net Profit+,23,42,35,45,52,75,24,105,175,120,188,147,99
EPS in Rs,1.99,3.71,3.05,4.05,4.71,6.61,2.09,9.27,15.41,11.47,17.89,13.91,9.34
Dividend Payout %,24%,16%,20%,21%,20%,15%,46%,22%,16%,21%,13%,17%,
