Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"8,254","9,471","9,477","11,179","12,808","14,721","14,471","15,297","12,789","15,078","16,770","17,238","17,497"
Expenses+,"7,385","8,528","8,289","9,805","11,400","13,159","13,014","13,706","11,387","13,485","14,946","15,433","15,634"
Operating Profit,869,944,"1,187","1,374","1,408","1,562","1,457","1,591","1,402","1,593","1,823","1,805","1,863"
OPM %,11%,10%,13%,12%,11%,11%,10%,10%,11%,11%,11%,10%,11%
Other Income+,73,94,59,102,21,148,40,70,"3,725",125,88,113,125
Interest,14,9,79,153,114,117,108,153,64,79,120,160,156
Depreciation,140,155,175,226,267,344,418,434,440,502,560,582,588
Profit before tax,787,874,992,"1,097","1,048","1,249",972,"1,074","4,623","1,138","1,231","1,176","1,245"
Tax %,31%,29%,29%,27%,34%,32%,22%,25%,6%,28%,28%,32%,
Net Profit+,546,616,700,804,694,847,762,803,"4,357",823,883,800,854
EPS in Rs,6.41,7.23,8.20,9.42,8.13,9.95,9.14,9.53,51.38,9.68,10.31,9.35,9.97
Dividend Payout %,28%,30%,29%,25%,30%,24%,45%,21%,4%,21%,19%,21%,
