Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,308,131,88,100,124,162,172,73,132,163,195,167,165
Expenses+,305,95,75,95,116,147,153,66,113,158,180,162,160
Operating Profit,3,36,13,5,8,15,18,7,19,5,14,4,5
OPM %,1%,27%,15%,5%,7%,9%,11%,9%,14%,3%,7%,3%,3%
Other Income+,5,4,2,10,11,12,9,15,22,11,14,13,13
Interest,7,10,9,9,11,10,16,14,12,14,15,14,13
Depreciation,9,39,9,12,13,12,19,19,18,19,20,19,19
Profit before tax,-8,-9,-3,-6,-4,4,-8,-11,10,-17,-6,-15,-15
Tax %,-4%,-6%,4%,20%,5%,38%,7%,9%,39%,8%,7%,15%,
Net Profit+,-7,-9,-3,-8,-5,3,-8,-12,6,-19,-7,-17,-17
EPS in Rs,-3.25,-3.85,-1.38,-3.52,-2.19,1.14,-3.86,-5.45,2.75,-8.30,-2.95,-7.66,-7.36
Dividend Payout %,0%,0%,0%,0%,0%,110%,0%,0%,0%,0%,0%,0%,
