Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,620,579,608,618,644,632,743,766,812,887,923,923,"1,009"
Expenses+,560,524,559,567,589,573,677,708,752,817,844,841,920
Operating Profit,60,56,49,51,55,58,66,58,60,70,79,82,89
OPM %,10%,10%,8%,8%,9%,9%,9%,8%,7%,8%,9%,9%,9%
Other Income+,15,13,14,14,15,13,28,31,22,18,25,16,14
Interest,7,8,9,10,11,13,15,16,19,19,18,18,19
Depreciation,20,20,21,21,21,24,27,26,26,27,33,32,37
Profit before tax,48,41,33,34,38,35,52,46,37,42,53,48,47
Tax %,31%,27%,38%,32%,31%,27%,31%,26%,23%,19%,18%,25%,24%
Net Profit+,33,30,21,23,26,26,36,34,28,33,44,36,36
EPS in Rs,35.27,31.60,22.20,24.73,28.08,27.37,38.59,36.57,30.25,35.82,47.04,38.72,38.13
Raw PDF,,,,,,,,,,,,,
