Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,29,597,"1,032","1,413","1,641","1,940","2,854","3,819","3,862","3,667"
Interest,16,315,458,621,720,793,"1,017","1,449","1,811","1,827"
Expenses+,31,357,538,646,879,"1,248","1,676","2,190","3,152","3,217"
Financing Profit,-18,-75,35,146,43,-101,160,180,"-1,101","-1,377"
Financing Margin %,-61%,-13%,3%,10%,3%,-5%,6%,5%,-28%,-38%
Other Income+,19,102,109,133,127,208,288,442,467,490
Depreciation,0,0,17,23,29,33,42,51,59,0
Profit before tax,1,27,127,256,141,74,406,570,-693,-887
Tax %,0%,0%,29%,26%,25%,26%,26%,25%,-25%,
Net Profit+,1,27,90,190,105,55,302,426,-521,-665
EPS in Rs,0.03,0.87,2.11,4.45,2.34,1.22,6.73,8.27,-10.12,-12.91
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,8%,0%,
