Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"3,757","3,613","3,632","3,718","3,898","3,688","3,698","3,639","3,622","3,674","3,759","3,869","4,011"
Expenses+,"3,459","3,274","3,256","3,261","3,308","3,138","3,217","3,139","3,200","3,359","3,396","3,467","3,490"
Operating Profit,297,339,376,457,589,550,481,500,421,314,363,402,521
OPM %,8%,9%,10%,12%,15%,15%,13%,14%,12%,9%,10%,10%,13%
Other Income+,-15,-4,23,13,5,8,-9,15,11,3,19,34,7
Interest,109,121,125,122,109,107,109,112,120,123,121,115,108
Depreciation,99,102,106,106,108,111,112,113,113,114,117,114,116
Profit before tax,74,113,168,242,377,341,252,290,199,80,144,208,304
Tax %,34%,38%,33%,34%,34%,33%,31%,27%,27%,29%,29%,26%,27%
Net Profit+,50,67,112,159,249,227,172,218,140,53,99,163,227
EPS in Rs,2.08,2.66,4.40,6.25,9.83,8.47,6.49,8.11,4.93,1.88,3.54,6.03,8.08
Raw PDF,,,,,,,,,,,,,
