Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,29,37,49,58,66,87,97,106,106,106
Expenses+,24,30,40,47,56,75,81,86,88,89
Operating Profit,5,8,9,11,10,12,17,20,18,17
OPM %,16%,20%,18%,19%,16%,14%,17%,19%,17%,16%
Other Income+,2,3,3,2,2,6,3,3,11,-9
Interest,1,1,1,1,1,0,1,0,0,0
Depreciation,2,2,5,4,4,5,5,5,5,5
Profit before tax,3,7,6,8,8,12,14,17,24,2
Tax %,26%,27%,29%,16%,23%,18%,22%,24%,21%,
Net Profit+,2,5,4,7,6,10,11,13,19,0
EPS in Rs,0.92,2.03,0.33,0.54,0.47,0.77,0.83,1.00,1.48,-0.01
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
