Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,183.21,205.25,0.44,0.33,0.26,1.84,1.85,1.41,2.15,2.52,3.56,4.47,4.53
Expenses+,176.03,197.43,0.81,0.56,0.55,0.55,1.24,1.20,0.48,0.38,1.05,1.68,1.70
Operating Profit,7.18,7.82,-0.37,-0.23,-0.29,1.29,0.61,0.21,1.67,2.14,2.51,2.79,2.83
OPM %,3.92%,3.81%,-84.09%,-69.70%,-111.54%,70.11%,32.97%,14.89%,77.67%,84.92%,70.51%,62.42%,62.47%
Other Income+,2.00,2.31,2.36,2.23,1.77,-0.28,3.66,0.00,0.00,0.00,0.00,0.01,0.01
Interest,7.60,8.11,1.65,1.99,1.49,1.35,0.14,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,2.09,1.69,0.15,0.16,0.16,0.16,0.14,0.12,0.10,0.10,0.09,0.04,0.05
Profit before tax,-0.51,0.33,0.19,-0.15,-0.17,-0.50,3.99,0.09,1.57,2.04,2.42,2.76,2.79
Tax %,256.86%,336.36%,5.26%,13.33%,-52.94%,-60.00%,7.52%,244.44%,26.75%,25.00%,25.21%,23.91%,
Net Profit+,-1.81,-0.78,0.18,-0.17,-0.07,-0.20,3.69,-0.14,1.15,1.54,1.81,2.09,2.11
EPS in Rs,-1.01,-0.43,0.10,-0.09,-0.04,-0.11,2.05,-0.08,0.64,0.86,1.01,1.16,1.18
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
