Metric,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,334","5,865","6,214","7,782","8,749","10,260","12,207","13,546"
Expenses+,"2,748","4,427","4,565","5,791","6,848","7,743","9,182","10,278"
Operating Profit,586,"1,438","1,649","1,991","1,902","2,517","3,026","3,267"
OPM %,18%,25%,27%,26%,22%,25%,25%,24%
Other Income+,76,122,183,210,141,295,548,514
Interest,2,23,21,60,46,34,432,752
Depreciation,39,99,119,167,326,378,621,859
Profit before tax,621,"1,438","1,692","1,975","1,671","2,399","2,521","2,171"
Tax %,29%,27%,24%,26%,22%,19%,20%,
Net Profit+,445,"1,056","1,293","1,453","1,310","1,942","2,011","1,774"
EPS in Rs,219.33,25.72,31.59,35.78,32.00,47.75,48.26,42.43
Dividend Payout %,0%,0%,24%,0%,0%,0%,0%,
