Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,466,"1,313","2,605","1,994","4,192","7,079","12,114","20,243","31,995"
Expenses+,558,"3,556","4,909","2,461","6,043","8,290","12,071","19,595","31,407"
Operating Profit,-92,"-2,243","-2,305",-467,"-1,851","-1,211",43,648,588
OPM %,-20%,-171%,-88%,-23%,-44%,-17%,0%,3%,2%
Other Income+,21,"1,285",16,-200,793,682,846,"1,066","1,326"
Interest,6,9,13,10,12,49,72,154,252
Depreciation,29,43,84,138,150,437,526,863,"1,224"
Profit before tax,-107,"-1,010","-2,386",-815,"-1,220","-1,015",291,697,438
Tax %,0%,0%,0%,0%,0%,-4%,-21%,24%,
Net Profit+,-107,"-1,010","-2,386",-816,"-1,222",-971,351,527,188
EPS in Rs,"-3,070.18","-28,574.18","-70,096.54","-23,123.76",-1.54,-1.14,0.40,0.55,0.20
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
