Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,753,800,710,666,650,694,609,537,650,766,665,665,685
Expenses+,665,718,639,625,604,635,563,488,593,709,628,632,652
Operating Profit,88,82,71,41,45,59,46,49,58,57,37,33,32
OPM %,12%,10%,10%,6%,7%,9%,8%,9%,9%,7%,6%,5%,5%
Other Income+,5,8,11,11,15,7,13,8,9,11,12,18,14
Interest,25,21,22,21,20,19,17,11,10,14,15,21,22
Depreciation,14,14,15,16,16,15,15,15,14,16,18,18,18
Profit before tax,54,55,45,16,25,32,27,30,42,37,15,12,6
Tax %,31%,35%,38%,47%,29%,34%,2%,19%,26%,25%,23%,34%,
Net Profit+,37,36,28,8,18,21,26,28,36,30,14,9,4
EPS in Rs,33.63,32.37,25.32,7.59,15.99,18.96,23.80,25.38,32.24,24.04,11.32,8.26,2.75
Dividend Payout %,5%,5%,6%,14%,6%,5%,3%,4%,3%,4%,7%,9%,
