Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"4,336","4,936","5,935","6,714","7,594","9,684","11,535","12,186","11,898","15,062","20,214","22,190"
Interest,"2,114","2,288","2,374","2,132","2,543","3,180","4,109","4,268","4,225","5,452","7,461","8,173"
Expenses+,"1,110","1,268","1,554","1,656","1,747","2,207","2,259","2,490","2,747","3,622","5,481","5,745"
Financing Profit,"1,112","1,381","2,007","2,927","3,305","4,298","5,167","5,428","4,926","5,988","7,272","8,273"
Financing Margin %,26%,28%,34%,44%,44%,44%,45%,45%,41%,40%,36%,37%
Other Income+,1,5,3,67,6,22,32,52,75,101,110,127
Depreciation,84,59,52,52,52,59,67,70,78,92,116,125
Profit before tax,"1,029","1,327","1,959","2,942","3,260","4,260","5,131","5,410","4,923","5,996","7,266","8,274"
Tax %,35%,38%,38%,37%,35%,26%,26%,25%,25%,26%,26%,
Net Profit+,672,818,"1,200","1,844","2,103","3,169","3,819","4,031","3,670","4,468","5,352","6,131"
EPS in Rs,16.86,20.41,30.03,45.74,51.86,78.25,94.83,100.08,89.98,107.71,132.84,153.30
Dividend Payout %,36%,29%,20%,22%,23%,19%,21%,20%,24%,22%,20%,
