Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,361,377,394,443,508,532,570,572,641,467,458
Expenses+,337,346,352,402,447,475,544,557,600,490,464
Operating Profit,24,31,42,41,61,57,26,15,41,-22,-6
OPM %,7%,8%,11%,9%,12%,11%,5%,3%,6%,-5%,-1%
Other Income+,18,15,15,17,-13,18,19,5,10,190,9
Interest,6,5,5,12,17,13,11,11,14,3,2
Depreciation,8,8,9,11,12,13,13,17,18,13,12
Profit before tax,28,33,43,35,18,50,21,-8,19,151,-12
Tax %,53%,36%,29%,25%,43%,35%,36%,-0%,25%,19%,
Net Profit+,13,21,31,27,10,33,13,-8,15,122,-10
EPS in Rs,18.89,25.57,29.79,24.56,1.88,40.51,10.59,-7.59,12.83,165.01,-13.11
Dividend Payout %,66%,49%,34%,41%,133%,31%,47%,-66%,39%,3%,
