Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,185,79,114,116,145,207,232,194,200,193,151,258,219
Expenses+,129,57,83,79,108,147,166,129,140,130,108,180,161
Operating Profit,56,22,31,37,38,60,66,64,60,63,43,78,58
OPM %,30%,28%,27%,32%,26%,29%,29%,33%,30%,32%,29%,30%,26%
Other Income+,2,2,4,2,2,2,2,2,4,6,2,1,2
Interest,11,8,15,9,10,21,28,23,18,24,12,21,17
Depreciation,0,0,0,0,0,1,0,1,1,1,1,1,1
Profit before tax,46,15,19,29,29,41,40,43,47,45,33,57,43
Tax %,25%,29%,24%,26%,22%,26%,26%,24%,22%,26%,27%,31%,27%
Net Profit+,34,11,15,22,23,30,29,33,36,33,24,39,31
EPS in Rs,9.63,3.00,4.26,5.94,6.35,8.59,8.10,8.85,9.77,8.61,6.42,9.73,7.72
Raw PDF,,,,,,,,,,,,,
