Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,716,692,699,680,709,724,783,735,834,832,877,863,941
Expenses+,637,611,612,608,639,637,689,648,771,735,790,781,841
Operating Profit,79,81,87,71,70,87,94,86,63,97,87,82,100
OPM %,11%,12%,12%,11%,10%,12%,12%,12%,8%,12%,10%,9%,11%
Other Income+,22,5,6,13,19,9,19,10,12,13,10,39,35
Interest,8,10,11,12,14,13,13,12,15,19,14,15,16
Depreciation,24,25,23,25,26,26,28,26,32,31,32,34,37
Profit before tax,69,51,58,48,49,57,73,58,28,60,50,71,81
Tax %,34%,25%,29%,31%,29%,30%,19%,35%,98%,45%,46%,32%,37%
Net Profit+,46,38,41,33,35,40,59,38,0,33,27,48,51
EPS in Rs,3.31,2.75,2.96,2.39,2.51,2.91,4.27,2.75,0.03,2.41,1.96,3.47,3.67
Raw PDF,,,,,,,,,,,,,
