Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"11,619","14,907","11,710","15,247","16,338","19,510","18,240","31,275","31,182","31,415","46,576","46,469","47,492"
Expenses+,"11,167","14,188","11,179","14,476","15,807","19,003","17,788","30,689","30,769","30,862","46,150","45,994","47,094"
Operating Profit,452,718,531,771,531,507,452,585,413,554,426,476,399
OPM %,4%,5%,5%,5%,3%,3%,2%,2%,1%,2%,1%,1%,1%
Other Income+,54,30,2,2,1,3,2,13,6,16,36,21,28
Interest,93,82,8,9,0,27,0,0,25,37,44,47,58
Depreciation,138,154,60,63,2,2,11,5,5,5,3,3,3
Profit before tax,274,512,465,702,530,481,442,593,389,527,415,447,366
Tax %,24%,29%,15%,15%,17%,13%,38%,6%,18%,14%,5%,10%,
Net Profit+,209,365,393,593,442,416,273,560,318,452,393,403,334
EPS in Rs,5.24,10.49,9.47,14.79,10.67,9.75,5.38,12.33,7.34,10.97,9.85,9.48,7.81
Dividend Payout %,69%,48%,38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
