Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,119,178,309,387,552,802,959,995
Expenses+,110,166,275,338,483,656,791,830
Operating Profit,8,12,35,49,69,146,168,164
OPM %,7%,7%,11%,13%,13%,18%,17%,17%
Other Income+,2,2,3,2,2,3,11,14
Interest,3,5,6,7,10,22,34,36
Depreciation,2,2,1,1,2,12,19,19
Profit before tax,5,6,31,43,60,116,125,122
Tax %,24%,36%,24%,26%,26%,26%,26%,
Net Profit+,4,4,24,32,44,86,93,90
EPS in Rs,4.29,4.73,27.06,20.81,21.78,42.36,45.47,44.12
Dividend Payout %,0%,0%,0%,0%,2%,1%,2%,
