Metric,Sep 2014,Mar 20156m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,677,459,"1,086","1,172","1,520","1,939",952,906,"1,491","2,324","2,229","2,078","2,042"
Expenses+,620,424,990,"1,059","1,353","1,710",859,840,"1,356","2,066","1,983","1,858","1,825"
Operating Profit,57,35,96,114,167,229,93,66,135,257,246,220,216
OPM %,8%,8%,9%,10%,11%,12%,10%,7%,9%,11%,11%,11%,11%
Other Income+,6,3,1,2,5,3,6,3,4,5,16,27,33
Interest,7,4,6,1,1,1,2,3,2,3,3,3,2
Depreciation,29,17,39,39,43,46,37,36,36,41,36,34,35
Profit before tax,26,16,52,75,128,185,60,30,100,218,223,211,212
Tax %,30%,36%,33%,34%,34%,34%,31%,25%,26%,26%,25%,26%,
Net Profit+,18,11,35,49,84,122,41,23,74,162,166,156,157
EPS in Rs,12.03,6.97,23.01,32.70,55.54,80.43,27.22,15.04,49.21,107.22,109.95,102.92,104.01
Dividend Payout %,21%,14%,24%,24%,24%,24%,25%,30%,30%,30%,29%,30%,
